t(s)   Q (ml/s)	
0.74	0.0151
0.741	0.0146
0.742	0.0146
0.743	0.0148
0.744	0.0148
0.745	0.0149
0.746	0.015
0.747	0.0148
0.748	0.015
0.749	0.015
0.75	0.0151
0.751	0.0151
0.752	0.0149
0.753	0.0148
0.754	0.0152
0.755	0.0147
0.756	0.0149
0.757	0.0149
0.758	0.015
0.759	0.015
0.76	0.0148
0.761	0.0143
0.762	0.0146
0.763	0.0143
0.764	0.015
0.765	0.0145
0.766	0.0145
0.767	0.0144
0.768	0.0148
0.769	0.0143
0.77	0.0146
0.771	0.0146
0.772	0.0145
0.773	0.0147
0.774	0.015
0.775	0.0147
0.776	0.0145
0.777	0.0148
0.778	0.0151
0.779	0.0148
0.78	0.0147
0.781	0.0147
0.782	0.0146
0.783	0.0146
0.784	0.0144
0.785	0.0142
0.786	0.0143
0.787	0.0143
0.788	0.0144
0.789	0.014
0.79	0.014
0.791	0.0143
0.792	0.0144
0.793	0.0142
0.794	0.0144
0.795	0.0146
0.796	0.0145
0.797	0.0144
0.798	0.0146
0.799	0.0142
0.8	0.0144
0.801	0.0141
0.802	0.0144
0.803	0.0139
0.804	0.0142
0.805	0.0145
0.806	0.0146
0.807	0.0144
0.808	0.0145
0.809	0.0146
0.81	0.0146
0.811	0.0144
0.812	0.0147
0.813	0.0141
0.814	0.0142
0.815	0.0142
0.816	0.0141
0.817	0.0137
0.818	0.0139
0.819	0.014
0.82	0.0139
0.821	0.0141
0.822	0.0143
0.823	0.014
0.824	0.0141
0.825	0.0138
0.826	0.0139
0.827	0.0139
0.828	0.014
0.829	0.014
0.83	0.0139
0.831	0.0136
0.832	0.014
0.833	0.0139
0.834	0.0134
0.835	0.0135
0.836	0.0134
0.837	0.0131
0.838	0.0131
0.839	0.013
0.84	0.0129
0.841	0.013
0.842	0.0129
0.843	0.0132
0.844	0.0128
0.845	0.0129
0.846	0.0132
0.847	0.013
0.848	0.0128
0.849	0.0132
0.85	0.0133
0.851	0.0133
0.852	0.0133
0.853	0.0133
0.854	0.0134
0.855	0.0134
0.856	0.0135
0.857	0.0134
0.858	0.0135
0.859	0.0136
0.86	0.0137
0.861	0.0135
0.862	0.0134
0.863	0.0137
0.864	0.0135
0.865	0.0137
0.866	0.0137
0.867	0.0136
0.868	0.0138
0.869	0.0138
0.87	0.0138
0.871	0.014
0.872	0.0138
0.873	0.014
0.874	0.014
0.875	0.0141
0.876	0.0138
0.877	0.014
0.878	0.014
0.879	0.014
0.88	0.014
0.881	0.0137
0.882	0.0138
0.883	0.0139
0.884	0.0138
0.885	0.0135
0.886	0.0134
0.887	0.0136
0.888	0.0133
0.889	0.0131
0.89	0.013
0.891	0.0129
0.892	0.0127
0.893	0.0129
0.894	0.0127
0.895	0.0122
0.896	0.0121
0.897	0.0121
0.898	0.0118
0.899	0.0117
0.9	0.0113
0.901	0.0112
0.902	0.0106
0.903	0.0103
0.904	0.01
0.905	0.0099
0.906	0.0097
0.907	0.0092
0.908	0.0091
0.909	0.0088
0.91	0.0086
0.911	0.0086
0.912	0.0084
0.913	0.0084
0.914	0.0086
0.915	0.0082
0.916	0.0082
0.917	0.008
0.918	0.008
0.919	0.0082
0.92	0.008
0.921	0.0082
0.922	0.0082
0.923	0.0087
0.924	0.0091
0.925	0.0095
0.926	0.0095
0.927	0.0097
0.928	0.0105
0.929	0.0106
0.93	0.0112
0.931	0.0113
0.932	0.0113
0.933	0.0118
0.934	0.0125
0.935	0.0127
0.936	0.0129
0.937	0.0134
0.938	0.0143
0.939	0.0146
0.94	0.015
0.941	0.0157
0.942	0.0161
0.943	0.0163
0.944	0.0167
0.945	0.0168
0.946	0.0173
0.947	0.0176
0.948	0.0178
0.949	0.0174
0.95	0.0175
0.951	0.0177
0.952	0.0177
0.953	0.0173
0.954	0.0175
0.955	0.0178
0.956	0.0178
0.957	0.0176
0.958	0.0178
0.959	0.0176
0.96	0.0179
0.961	0.0179
0.962	0.0182
0.963	0.0184
0.964	0.0185
0.965	0.0191
0.966	0.0194
0.967	0.0201
0.968	0.0208
0.969	0.022
0.97	0.0229
0.971	0.0242
0.972	0.0252
0.973	0.0265
0.974	0.0279
0.975	0.0295
0.976	0.0316
0.977	0.0332
0.978	0.0353
0.979	0.0374
0.98	0.0398
0.981	0.0419
0.982	0.0448
0.983	0.0476
0.984	0.0504
0.985	0.053
0.986	0.0562
0.987	0.0588
0.988	0.0621
0.989	0.0654
0.99	0.0682
0.991	0.0712
0.992	0.0741
0.993	0.0774
0.994	0.08
0.995	0.0831
0.996	0.0859
0.997	0.0885
0.998	0.0912
0.999	0.0941
1	0.0965
1.001	0.0991
1.002	0.1014
1.003	0.1038
1.004	0.1059
1.005	0.1078
1.006	0.1099
1.007	0.1118
1.008	0.1134
1.009	0.115
1.01	0.1165
1.011	0.1177
1.012	0.1193
1.013	0.1202
1.014	0.1213
1.015	0.1224
1.016	0.1237
1.017	0.1243
1.018	0.1247
1.019	0.1257
1.02	0.1263
1.021	0.1268
1.022	0.1272
1.023	0.1281
1.024	0.1285
1.025	0.1292
1.026	0.1292
1.027	0.1297
1.028	0.1301
1.029	0.1304
1.03	0.1309
1.031	0.131
1.032	0.1312
1.033	0.1314
1.034	0.1315
1.035	0.1314
1.036	0.1313
1.037	0.1312
1.038	0.1314
1.039	0.1311
1.04	0.1305
1.041	0.1298
1.042	0.1293
1.043	0.1288
1.044	0.1281
1.045	0.1276
1.046	0.1266
1.047	0.1263
1.048	0.1257
1.049	0.1247
1.05	0.1242
1.051	0.1234
1.052	0.1228
1.053	0.122
1.054	0.1211
1.055	0.1196
1.056	0.1188
1.057	0.1181
1.058	0.1171
1.059	0.116
1.06	0.115
1.061	0.114
1.062	0.1129
1.063	0.1118
1.064	0.1105
1.065	0.1095
1.066	0.109
1.067	0.108
1.068	0.107
1.069	0.1061
1.07	0.105
1.071	0.1046
1.072	0.1037
1.073	0.1031
1.074	0.1025
1.075	0.1022
